,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
37,140034,2.02405E+19,99,op,0.23906629,zksync,0.03580307,1638744,16.31109221,0x9a9c602bdfd97902d0c72bb5b384dcff5f5b654d,131,6,2023/7/30 2:22,2023/8/7 15:28,115,2023/8/13 6:35,2024/4/28 20:49,10,2023/7/31 22:39,2023/8/15 14:53,1.00E-04
38,140033,2.02405E+19,98,op,0.23906629,zksync,0.03580307,1638005,16.3237047,0x3fdb7c653ee7fb821770e8d30bde666c113d7caf,131,6,2023/7/30 2:19,2023/8/7 15:21,115,2023/8/13 6:34,2024/4/28 20:49,10,2023/7/31 22:36,2023/8/15 14:44,1.00E-04
39,140032,2.02405E+19,97,op,0.23906629,zksync,0.03580307,1636526,16.34893719,0x14919740fc28e7a9537b8da456b9ed8ab94ce12d,132,6,2023/7/29 18:24,2023/8/7 12:03,116,2023/8/13 5:59,2024/4/28 20:46,10,2023/7/31 21:29,2023/8/15 13:29,1.00E-04
40,140031,2.02405E+19,96,op,0.23906629,zksync,0.03580307,1636240,16.35387684,0x6246e7421c05614e8ef36a6922fe005bb1ca0dd0,132,6,2023/7/29 18:29,2023/8/7 12:09,116,2023/8/13 6:01,2024/4/28 20:46,10,2023/7/31 21:34,2023/8/15 13:37,1.00E-04
41,140030,2.02405E+19,95,op,0.23906629,zksync,0.03580307,1634982,16.37577414,0xe977f047843deee284bf9847835abc8a5108e2e5,130,6,2023/7/29 21:56,2023/8/7 13:18,114,2023/8/13 6:23,2024/4/28 20:48,10,2023/7/31 22:04,2023/8/15 14:05,1.00E-04
42,140029,2.02405E+19,94,op,0.23906629,zksync,0.03580307,1632082,16.42383794,0x0f1ae7d68e2e1814a5bc59d0cc9c5672e64c0f30,131,6,2023/7/29 21:55,2023/8/7 13:17,115,2023/8/13 6:16,2024/4/28 20:48,10,2023/7/31 22:03,2023/8/15 14:03,1.00E-04
43,140028,2.02405E+19,93,op,0.23906629,zksync,0.03580307,1632042,16.4246603,0xb5b61780ba5102897b72e3f9652bbe617ce9e468,132,7,2023/7/29 21:57,2023/8/7 14:28,115,2023/8/13 6:24,2024/4/28 20:48,10,2023/7/31 22:06,2023/8/15 14:06,1.00E-04
44,140027,2.02405E+19,92,op,0.23906629,zksync,0.03580307,1631028,16.44185393,0x6610e3759187fab8801f53c6b9118f79fbcdb312,132,7,2023/7/30 2:10,2023/8/7 15:10,115,2023/8/13 6:30,2024/4/28 20:49,10,2023/7/31 22:24,2023/8/15 14:24,1.00E-04
45,140026,2.02405E+19,91,op,0.23906629,zksync,0.03580307,1630969,16.44291211,0x0cff7d5aa67863c4ac0363ac61da6c242bb5fa42,131,6,2023/7/30 2:08,2023/8/7 15:07,115,2023/8/13 6:30,2024/4/28 20:49,10,2023/7/31 22:22,2023/8/15 14:21,1.00E-04
46,140025,2.02405E+19,90,op,0.23906629,zksync,0.03580307,1629133,16.4757951,0xa0b617d66c86397b990b406160b06f85910d75d4,131,6,2023/7/30 1:58,2023/8/7 14:31,115,2023/8/13 6:25,2024/4/28 20:48,10,2023/7/31 22:08,2023/8/15 14:08,1.00E-04
47,140024,2.02405E+19,89,op,0.23906629,zksync,0.03580307,1620751,16.62105995,0xc06503ee48914505d1d2225830f7962bdfb3523f,132,7,2023/7/29 21:51,2023/8/7 13:11,115,2023/8/13 6:14,2024/4/28 20:48,10,2023/7/31 21:58,2023/8/15 13:57,1.00E-04
48,140023,2.02405E+19,88,op,0.23906629,zksync,0.03580307,1620750,16.62105995,0x546304362ce1c406af216d8a21d72822bd8433e0,131,6,2023/7/29 21:53,2023/8/7 13:15,115,2023/8/13 6:15,2024/4/28 20:48,10,2023/7/31 22:00,2023/8/15 14:00,1.00E-04
49,140022,2.02405E+19,87,op,0.23906629,zksync,0.03580307,1620645,16.62293668,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,131,6,2023/7/30 2:17,2023/8/7 15:19,115,2023/8/13 6:33,2024/4/28 20:49,10,2023/7/31 22:33,2023/8/15 14:39,1.00E-04
50,140021,2.02405E+19,86,op,0.23906629,zksync,0.03580307,1620483,16.62539448,0x04a640740800e77e2905c6ccd8c3f7882434ba4e,131,6,2023/7/30 2:15,2023/8/7 15:18,115,2023/8/13 6:33,2024/4/28 20:49,10,2023/7/31 22:31,2023/8/15 14:35,1.00E-04
