address,tx_count,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,noprotocol_tx_count,noprotocol_firsttime,noprotocol_lasttime,l2marathon_tx_count,l2marathon_firsttime,l2marathon_lasttime,stargate_tx_count,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0xad2e14e2e5bfd6b7efd765f15b14f8f7d580d049,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:34,2024/4/9 21:32,1,2023/7/24 21:40,2023/7/24 21:40,4,2023/10/4 21:41,2023/11/20 1:09,130.8169418
0x41f4ef73fa2ab71f7b51a6698ded27852ed10e23,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:30,2024/4/9 21:33,1,2023/7/24 23:34,2023/7/24 23:34,4,2023/10/4 21:38,2023/11/20 1:15,132.0171958
0xd3865445beb3ae80cf23c0e348034bc10c4b1947,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:34,2024/4/9 21:32,1,2023/7/30 21:53,2023/7/30 21:53,4,2023/10/4 21:40,2023/11/20 1:17,131.8555418
0xc503a95a3b43fd8279677ea504f518539b1de554,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:52,2024/4/9 21:34,1,2023/7/24 21:02,2023/7/24 21:02,4,2023/10/4 21:43,2023/11/20 1:11,131.6191774
0x90a628703fcf639511443827fc98fe4c307e2e6a,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:54,2024/4/9 21:33,1,2023/7/25 21:12,2023/7/25 21:12,4,2023/10/4 21:42,2023/11/20 1:07,132.7879384
0xd01693b9ad8f7559942cce92119d5275c76e3c1e,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:52,2024/4/9 21:33,1,2023/7/25 21:15,2023/7/25 21:15,4,2023/10/4 21:42,2023/11/20 1:10,131.8901631
0xbdca938be0aa323b1340c1149f1a0b3bb6f721dd,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:54,2024/4/9 21:34,1,2023/7/25 21:36,2023/7/25 21:36,4,2023/10/4 21:42,2023/11/20 1:08,132.4920914
0x6b542f79ef1e8d0c135b201b34238b2a2d4064b5,34,linea,2.62640871,op,4.10353706,29,2023/8/12 13:54,2024/4/9 21:32,1,2023/7/30 21:55,2023/7/30 21:55,4,2023/10/4 21:38,2023/11/20 1:15,131.3838088
0x28d0926a10cc03807d3f2eb1cbada70fe755ff67,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:24,2024/4/9 21:32,1,2023/7/30 21:56,2023/7/30 21:56,4,2023/10/4 21:42,2023/11/20 1:08,131.3586457
0x92c4d238f909842b49d59e6cebb75846969b729c,34,linea,2.62640871,op,4.10353706,29,2023/8/12 14:29,2024/4/9 21:32,1,2023/7/25 22:59,2023/7/25 22:59,4,2023/10/4 21:38,2023/11/20 1:11,131.9252844
0x784462e39684aa97c3ae4455387f34eb4c44e18f,35,linea,2.62640871,op,4.10353706,29,2023/8/12 14:34,2024/4/9 21:32,2,2023/7/30 21:54,2023/7/31 11:37,4,2023/10/4 21:42,2023/11/20 1:15,132.0873788
