,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,aptosbridge,aptosbridge_firsttime,aptosbridge_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,coredao,coredao_firsttime,coredao_lasttime,harmonybridge,harmonybridge_firsttime,harmonybridge_lasttime,l2pass,l2pass_firsttime,l2pass_lasttime,sum_stargate_swap_usd
11,231996,2.02405E+19,18,op,0.71144929,arb,0.70170472,1680015,15.59417834,0x4f7c85c1707f708a0a483169070a487c0b991d71,74,1,2023/9/1 10:53,2023/9/1 10:53,41,2023/8/8 11:40,2023/12/18 13:28,14,2023/6/24 15:37,2023/9/2 7:30,7,2023/7/21 17:38,2023/8/16 12:15,7,2023/7/19 20:48,2023/8/16 12:11,4,2024/2/23 19:41,2024/4/9 19:00,11026.8755
12,231995,2.02405E+19,17,op,0.71144929,arb,0.70170472,1672865,15.72018789,0xc69c476a6551ae4affccd2b53512f8752e7473dc,74,1,2023/9/1 10:55,2023/9/1 10:55,41,2023/8/8 11:46,2023/12/18 13:29,14,2023/6/24 16:00,2023/9/2 7:40,7,2023/7/21 18:59,2023/8/16 12:18,7,2023/7/19 20:53,2023/8/16 12:11,4,2024/2/23 19:56,2024/5/1 16:42,10871.23142
13,231994,2.02405E+19,16,op,0.71144929,arb,0.70170472,1662896,15.89134998,0xcbc761fa140b70c40b56e8752d604ab889581639,74,1,2023/9/1 10:56,2023/9/1 10:56,41,2023/8/8 11:48,2023/12/21 18:59,14,2023/6/24 16:06,2023/9/2 7:43,7,2023/7/21 19:11,2023/8/16 12:19,7,2023/7/19 21:04,2023/8/16 12:11,4,2024/2/23 20:00,2024/4/28 14:17,10827.12576
14,231993,2.02405E+19,15,op,0.71144929,arb,0.70170472,1654165,16.04562754,0xe37727d13075eebf3b21167a258d8b399e538dc6,73,1,2023/9/1 10:55,2023/9/1 10:55,41,2023/8/8 11:45,2023/12/21 18:58,14,2023/6/24 15:58,2023/9/2 7:39,6,2023/7/21 18:50,2023/8/13 17:18,7,2023/7/19 20:55,2023/8/16 12:11,4,2024/2/23 19:54,2024/5/1 16:41,10906.12384
15,231992,2.02405E+19,14,op,0.71144929,arb,0.70170472,1634777,16.3788947,0xe5ab06983919575c38438cef5685c6d27c1c6101,74,1,2023/9/1 10:56,2023/9/1 10:56,41,2023/8/8 11:47,2023/12/18 13:29,14,2023/6/24 16:05,2023/9/2 7:43,7,2023/7/21 19:08,2023/8/16 12:20,7,2023/7/19 20:55,2023/8/16 12:11,4,2024/2/23 19:59,2024/4/12 4:05,10834.59463
16,231991,2.02405E+19,13,op,0.71144929,arb,0.70170472,1594872,17.06650141,0x7d2601109da2024915a6f33988fac29e831185d6,72,1,2023/9/1 10:54,2023/9/1 10:54,40,2023/8/8 11:42,2023/12/7 22:39,14,2023/6/24 15:46,2023/9/2 7:35,6,2023/7/21 18:30,2023/8/13 17:19,7,2023/7/19 20:50,2023/8/16 12:11,4,2024/2/23 19:47,2024/4/12 4:00,10978.77865
17,231990,2.02405E+19,12,op,0.71144929,arb,0.70170472,1419474,20.28967334,0xcc6cc290df99f7831d0d2fe2d96514abe579c57b,75,1,2023/9/1 10:47,2023/9/1 10:47,40,2023/8/8 11:26,2023/12/26 18:54,15,2023/6/22 18:55,2023/9/4 19:41,7,2023/7/19 19:14,2023/8/16 12:10,6,2023/7/19 20:16,2023/8/13 17:11,6,2024/1/25 16:54,2024/4/8 20:30,11067.53564
18,231989,2.02405E+19,11,op,0.71144929,arb,0.70170472,1415435,20.37027678,0x049dff23aaea1b843decf55ed591b31bfd05040d,74,1,2023/9/1 10:48,2023/9/1 10:48,40,2023/8/8 11:27,2023/12/27 20:55,15,2023/6/22 19:02,2023/9/4 19:50,6,2023/7/19 19:22,2023/8/13 17:12,7,2023/7/19 20:23,2023/8/20 10:33,5,2024/1/27 15:47,2024/4/9 22:17,11019.26286
19,231988,2.02405E+19,10,op,0.71144929,arb,0.70170472,1393397,20.79328751,0xf3906b91da9eac6049e7940f80a6ab48fb6c6bc4,74,1,2023/9/1 10:48,2023/9/1 10:48,40,2023/8/8 11:28,2023/12/27 20:56,15,2023/6/22 19:03,2023/9/4 19:55,7,2023/7/19 19:23,2023/8/16 12:11,6,2023/7/19 20:20,2023/8/13 17:12,5,2024/1/27 15:47,2024/4/9 22:17,11009.5553
20,231987,2.02405E+19,9,op,0.71144929,arb,0.70170472,1393289,20.79529574,0x57653a3d0ed90268d9649fefffacc31e0c755fe5,76,1,2023/9/1 10:47,2023/9/1 10:47,40,2023/8/8 11:26,2023/12/26 18:55,15,2023/6/22 18:57,2023/9/4 19:44,8,2023/7/19 19:15,2023/8/20 10:33,6,2023/7/19 20:16,2023/8/13 17:11,6,2024/1/25 16:55,2024/4/9 22:16,11066.55443
21,231986,2.02405E+19,8,op,0.71144929,arb,0.70170472,1390767,20.84272569,0x7375ff16fbab68db2d8c83de76db8f0c833bd447,74,1,2023/9/1 10:48,2023/9/1 10:48,40,2023/8/8 11:27,2023/12/26 18:57,15,2023/6/22 18:59,2023/9/4 19:46,6,2023/7/19 19:18,2023/8/13 17:12,7,2023/7/19 20:17,2023/8/16 12:11,5,2024/1/27 15:45,2024/4/8 20:40,11050.48878
22,231985,2.02405E+19,7,op,0.71144929,arb,0.70170472,1386474,20.92699374,0xfe23fc1923ee771ab63e8a4efa27ef2d14f02538,73,1,2023/9/1 10:48,2023/9/1 10:48,40,2023/8/8 11:27,2023/12/27 20:54,15,2023/6/22 19:01,2023/9/4 19:49,6,2023/7/19 19:21,2023/8/16 12:10,6,2023/7/19 20:18,2023/8/13 17:12,5,2024/1/27 15:46,2024/4/8 20:41,11034.04308
23,231984,2.02405E+19,6,op,0.71144929,arb,0.70170472,1383264,20.99244892,0x937cbb0896676f33a58a68d74b53eda2ef269b9c,74,1,2023/9/1 10:47,2023/9/1 10:47,41,2023/8/8 11:27,2023/12/26 18:56,15,2023/6/22 18:58,2023/9/4 19:44,5,2023/7/19 19:17,2023/8/4 12:11,7,2023/7/19 20:17,2023/8/16 12:11,5,2024/1/27 15:44,2024/4/8 20:39,11058.60212
24,231983,2.02405E+19,5,op,0.71144929,arb,0.70170472,1379531,21.06383155,0xe217d98025118b2fb6e6c043d80e3e4d18fa72e7,73,1,2023/9/1 10:48,2023/9/1 10:48,39,2023/8/8 11:27,2023/12/26 18:59,15,2023/6/22 19:00,2023/9/4 19:47,7,2023/7/19 19:19,2023/8/16 12:11,6,2023/7/19 20:22,2023/8/13 17:12,5,2024/1/27 15:45,2024/4/8 20:40,11042.34212
25,231982,2.02405E+19,4,op,0.71144929,arb,0.70170472,1377145,21.11158744,0x5ab5a08d4230fdd097599eba7c69dc7422e5c99b,72,1,2023/9/1 10:47,2023/9/1 10:47,40,2023/8/8 11:26,2023/12/26 18:53,15,2023/6/22 18:54,2023/9/4 19:39,6,2023/7/19 19:12,2023/8/16 12:10,5,2023/7/19 20:15,2023/8/13 17:11,5,2024/1/25 16:53,2024/4/8 19:56,11080.15424
26,231981,2.02405E+19,3,op,0.71144929,arb,0.70170472,1376004,21.13363791,0x8ede95443ad2b85858406eda8f9a08e704ae34f5,73,1,2023/9/1 10:48,2023/9/1 10:48,39,2023/8/8 11:28,2023/12/27 20:57,15,2023/6/22 19:04,2023/9/4 19:54,7,2023/7/19 19:24,2023/8/16 12:11,6,2023/7/19 20:21,2023/8/13 17:51,5,2024/1/27 15:48,2024/4/9 22:17,11000.7369
27,231980,2.02405E+19,2,op,0.71144929,arb,0.70170472,1292851,22.8329509,0xc4d3efa43aa7e46b0a2d8787f7b38bdfa94ca2b0,74,1,2023/9/1 10:47,2023/9/1 10:47,40,2023/8/8 11:25,2023/12/26 18:50,15,2023/6/22 18:51,2023/9/4 19:35,6,2023/7/19 19:08,2023/8/16 12:10,7,2023/7/19 20:14,2023/8/16 12:11,5,2024/1/25 16:52,2024/4/8 18:47,11092.37215
28,231979,2.02405E+19,1,op,0.71144929,arb,0.70170472,1276758,23.18271805,0x21d4a1093ba553ee036425767fc9324d7695fd61,74,1,2023/9/1 10:47,2023/9/1 10:47,40,2023/8/8 11:26,2023/12/26 18:51,15,2023/6/22 18:53,2023/9/4 19:37,6,2023/7/19 19:11,2023/8/16 12:10,7,2023/7/19 20:15,2023/8/16 12:11,5,2024/1/25 16:52,2024/4/9 22:13,11082.91764
