,chain,hash,from,to,value,method,chain_tx_time
0,op,0x96fc1936f41e145b0d5c4c99c831f51c6adfc5e78cb89ecda56e643b88821149,0x8db9e6118991e206837fc6192bfae2cf306b70e7,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00745559903515335,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:47:21
1,op,0xe5f7d94129ec35b15d71a17638b8c0ec2ed6b3f0a1eefcd9a8668b6b160dfd2c,0x92a4782eaf4386c2531f442d9cedf5b5aa947b55,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00727085801141656,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:47:21
2,op,0x7279c967d0a3f13702f275f7b564820c356aa5a179d601ed7746e5909af40699,0xf0ea35b44fe48d6787dada0b67a1a340eb728a5c,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00761855226748496,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:48:03
3,op,0xa40368452ac90de9e7d01760c41217a6b319b169968611beae43ebcb25e083ca,0x7f2cb914f742a6cd63afe84b5008907ce7edd5da,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00743098569667605,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:48:29
4,op,0xf7f9b71d0f678540e53ba79a481075d22bb2292ec655b7484a7ae50cf4829042,0x6f2853d5cb0a292a61ca3d68525d386482b8b161,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00717674927737379,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:50:07
5,op,0xe5d2aed17b31c3315a82a15ac68b99da364ddfaf73a81f3d828647b7dd6ef69a,0x57ac81d7b00ebc92f66e939f5a0d47cd69a57303,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.0043031713759618,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:50:23
6,op,0xce3523c4afa81bf883db6e27e869fc32979a0c3f207cf17fedb5e3a53b1b6a29,0x250aef79c154ff3d6c02c89bc3f899aa1b891da1,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00773616895960784,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:50:27
7,op,0xb52920d20b521beecd2bce7c7bdc3eb7bb1f569192877314013f4e383d1fce1d,0xe7908ca1d814fadf93e2c0f2c55dd7468832d129,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00704685347931232,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:51:05
8,op,0xf436af4ab63f7ab3ccf575f30b2570f1009d9798cc78a437dca2e03670e61aad,0xcd22f07e4dd37f3f9c23b485fefdc85cb2fe0a03,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00764337718443545,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:51:15
9,op,0x2522a131b9366175fca69f69eccf2f0b974be83441b4d5202797b3374864adf4,0xda3b47904cf3812032fa617d8c5de5682c51b259,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00743685903991443,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 15:52:49
10,op,0x3e75b2cb9e6fd28f87b7c52b422bc97b4859075096f361f7222134629ec79220,0x2fa7cab836f319cb44acaf7aae9fb36a13c2cc15,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00742978231155145,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 18:15:27
11,op,0xa6dcf47a1dec5edb91a3bc0e8dbd7b15b9ce1b58e05a790cfb8e719b1b4ec833,0xa0eaa79314e682e5e62b470e06f20eebd835fe14,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00784946513689713,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 18:16:05
12,op,0x65a38009de886ca8f64fcc506abae672eefe4575e789be2c8c25059c4f832c45,0xfcc4ed45b600f036ea12d1d5b5f317b0ce91e12f,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00720564460735395,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-20 18:17:27
